index,Alcohol,Malic_acid,Ash,Alcalinity_of_ash,Magnesium,Total_phenols,Flavanoids,Nonflavanoid_phenols,Proanthocyanins,Color_intensity,Hue,OD280%2FOD315_of_diluted_wines,Proline,class
202197,13.922468,1.722804,2.50825,21.623571,92.797656,2.708854,3.034502,0.192924,1.847903,8.331771,1.102131,3.010674,1065.768443,0
824892,14.144849,1.568591,2.483753,15.744991,102.181674,2.242837,2.360547,0.41378,2.023554,4.937198,1.065247,2.84746,1132.089817,0
545505,13.432132,1.599744,2.255738,19.055274,133.761567,2.662796,3.055754,0.149961,1.947338,6.001683,0.95838,2.914642,1254.79984,0
161973,12.727466,1.104529,1.639821,21.168482,106.26746,2.238438,2.488237,0.1431,1.766027,3.278838,1.196432,2.297638,752.334443,1
103527,13.049113,1.301045,2.536391,21.797829,96.346207,3.379082,1.409707,0.339358,0.779513,2.578314,0.720535,2.771439,899.654842,1
734385,13.134633,2.057011,2.349112,21.314073,98.448234,1.645889,1.288752,0.313444,1.274523,4.748846,1.168719,1.478225,511.155781,2
783349,11.642373,2.873226,2.400056,19.294889,89.527005,2.275167,2.114799,0.651612,1.2612,2.328586,0.851375,2.74455,484.567616,1
751023,13.053302,4.081742,2.863909,21.62289,95.017112,3.528401,3.097764,0.284919,1.399647,3.239542,1.041438,3.71158,997.900562,0
293388,12.642756,2.028468,2.06132,21.585931,103.370829,1.643736,0.667297,0.275077,1.076879,2.026944,0.824345,1.964027,554.614203,1
683682,13.76619,2.008621,2.423697,13.182864,103.645891,2.988041,1.2497,0.527089,1.574903,5.030972,1.040296,3.525641,1430.046809,0
652672,13.58325,1.017707,2.350647,21.966131,87.590876,2.554729,3.175742,0.394801,1.992988,2.741427,0.586126,3.165618,388.856938,1
239007,12.382839,0.858305,2.355173,17.455688,89.917503,3.386944,2.846569,0.238573,0.625776,2.168196,0.863382,2.848973,528.865355,1
895510,11.786045,0.991201,2.259952,18.151184,81.839031,3.183713,2.713983,0.406675,1.725966,3.117393,0.975021,3.210712,512.656528,1
26365,13.013672,1.541674,2.487846,18.391488,89.188438,2.975816,2.831027,0.365029,2.321411,5.694107,1.091023,3.65967,1192.157536,0
975617,14.29587,1.709131,2.232937,19.290579,118.615763,2.35094,2.55607,0.469497,2.011482,6.26527,1.077757,3.239765,533.146373,0
793434,12.260658,1.841806,1.853335,18.073031,83.949739,1.813995,1.329278,0.424189,1.624281,2.358874,1.28774,2.088821,704.803403,1
982589,14.351544,1.776568,2.570827,23.323258,88.766198,2.697725,2.737898,0.224053,1.889366,6.998927,0.754685,3.504706,413.865553,2
547093,11.639726,3.066861,2.09113,14.893059,80.434825,1.739512,0.560292,0.29379,2.247939,3.508376,1.546836,2.66102,440.426284,1
443721,13.893448,1.164585,2.500811,21.925726,140.514503,2.777239,3.327038,0.444297,1.259464,3.799752,1.078131,2.679366,394.122679,1
333222,14.354223,1.712412,2.548233,19.629322,111.025984,2.705976,2.632019,0.267954,1.557538,6.371058,1.037638,3.591068,1201.98499,0
